date,series,open,high,low,prev_close,ltp,close,vwap,52wh,52wl,volume,value,no_of_trades
2020-12-28,EQ,"2,910.00","2,949.70","2,902.00","2,909.35","2,932.10","2,929.40","2,929.11","2,949.70","1,506.05",2108994,"6,177,467,465.10",106481
2020-12-29,EQ,"2,920.00","2,952.00","2,920.00","2,929.40","2,935.00","2,930.50","2,937.59","2,952.00","1,506.05",1994151,"5,857,996,376.70",99597
2020-12-30,EQ,"2,934.40","2,947.70","2,902.00","2,930.50","2,910.00","2,909.30","2,918.00","2,952.00","1,506.05",2637968,"7,697,596,026.60",87612
2020-12-31,EQ,"2,900.00","2,905.00","2,845.00","2,909.30","2,864.95","2,862.75","2,874.36","2,952.00","1,506.05",4040956,"11,615,170,401.55",130170
2021-01-01,EQ,"2,880.00","2,940.00","2,879.00","2,862.75","2,932.00","2,928.25","2,913.52","2,952.00","1,506.05",2681440,"7,812,435,140.30",88216
2021-01-04,EQ,"2,950.00","3,050.75","2,940.95","2,928.25","3,042.70","3,039.45","2,998.15","3,050.75","1,506.05",5113293,"15,330,405,223.95",207562
2021-01-05,EQ,"3,039.60","3,114.25","3,039.60","3,039.45","3,090.65","3,093.00","3,084.07","3,114.25","1,506.05",5801309,"17,891,634,394.80",202735
2021-01-06,EQ,"3,100.00","3,113.50","3,037.20","3,093.00","3,053.00","3,051.50","3,078.56","3,114.25","1,506.05",3726716,"11,472,936,907.35",172084
2021-01-07,EQ,"3,075.00","3,080.85","3,000.25","3,051.50","3,048.65","3,032.80","3,028.74","3,114.25","1,506.05",3717827,"11,260,321,904.20",167700
2021-01-08,EQ,"3,090.00","3,128.00","3,060.00","3,032.80","3,122.75","3,120.90","3,100.97","3,128.00","1,506.05",5879039,"18,230,717,038.75",214010
2021-01-11,EQ,"3,230.00","3,230.00","3,146.55","3,120.90","3,170.45","3,176.45","3,174.16","3,230.00","1,506.05",9508039,"30,180,045,841.35",294091
2021-01-12,EQ,"3,176.45","3,210.00","3,150.00","3,176.45","3,172.00","3,174.85","3,187.07","3,230.00","1,506.05",3611458,"11,509,972,776.65",142696
2021-01-13,EQ,"3,175.00","3,177.00","3,126.25","3,174.85","3,158.00","3,158.95","3,147.46","3,230.00","1,506.05",3572801,"11,245,261,941.15",189690
2021-01-14,EQ,"3,155.00","3,266.50","3,120.40","3,158.95","3,244.35","3,250.70","3,207.17","3,266.50","1,506.05",6931542,"22,230,611,264.15",276953
2021-01-15,EQ,"3,235.00","3,274.00","3,210.00","3,250.70","3,229.95","3,233.35","3,240.98","3,274.00","1,506.05",4131692,"13,390,734,930.65",193972
2021-01-18,EQ,"3,250.00","3,256.75","3,187.40","3,233.35","3,215.00","3,221.75","3,230.06","3,274.00","1,506.05",4160906,"13,439,989,256.75",195067
2021-01-19,EQ,"3,233.00","3,279.00","3,232.00","3,221.75","3,265.60","3,260.70","3,256.44","3,279.00","1,506.05",2975735,"9,690,307,983.35",135064
2021-01-20,EQ,"3,270.00","3,327.95","3,267.10","3,260.70","3,305.00","3,308.80","3,304.97","3,327.95","1,506.05",3453446,"11,413,530,807.30",169490
2021-01-21,EQ,"3,305.00","3,309.15","3,262.10","3,308.80","3,274.05","3,273.85","3,281.88","3,327.95","1,506.05",2778546,"9,118,852,661.70",134629
2021-01-22,EQ,"3,241.90","3,325.00","3,241.90","3,273.85","3,292.20","3,303.10","3,300.02","3,327.95","1,506.05",3052459,"10,073,163,825.50",120993
2021-01-25,EQ,"3,308.95","3,339.80","3,278.65","3,303.10","3,298.00","3,291.30","3,314.24","3,339.80","1,506.05",2272887,"7,532,889,906.35",122553
2021-01-27,EQ,"3,300.00","3,306.45","3,227.00","3,291.30","3,263.00","3,261.05","3,265.48","3,339.80","1,506.05",2786662,"9,099,782,354.05",175811
2021-01-28,EQ,"3,230.00","3,275.00","3,183.80","3,261.05","3,202.95","3,196.55","3,221.23","3,339.80","1,506.05",3083938,"9,934,065,466.35",154535
2021-01-29,EQ,"3,210.05","3,216.85","3,100.00","3,196.55","3,126.95","3,111.35","3,142.99","3,339.80","1,506.05",5445659,"17,115,646,045.40",185207
2021-02-01,EQ,"3,100.00","3,165.00","3,044.10","3,111.35","3,150.00","3,139.35","3,098.04","3,339.80","1,506.05",3985846,"12,348,318,212.80",280031
2021-02-02,EQ,"3,174.00","3,224.00","3,150.00","3,139.35","3,195.00","3,203.45","3,197.36","3,339.80","1,506.05",2881837,"9,214,282,428.10",114024
2021-02-03,EQ,"3,213.00","3,236.00","3,162.65","3,203.45","3,200.00","3,200.05","3,209.50","3,339.80","1,506.05",2505866,"8,042,581,723.80",116096
2021-02-04,EQ,"3,216.05","3,237.85","3,176.00","3,200.05","3,185.50","3,188.45","3,198.51","3,339.80","1,506.05",2057261,"6,580,160,004.75",105804
2021-02-05,EQ,"3,198.95","3,205.85","3,129.00","3,188.45","3,160.50","3,157.95","3,154.91","3,339.80","1,506.05",2366135,"7,464,932,897.55",143150
2021-02-08,EQ,"3,189.50","3,226.00","3,155.15","3,157.95","3,219.00","3,214.10","3,191.08","3,339.80","1,506.05",2526592,"8,062,547,697.85",155790
2021-02-09,EQ,"3,195.00","3,245.80","3,164.00","3,214.10","3,176.00","3,176.90","3,212.70","3,339.80","1,506.05",2658751,"8,541,775,943.25",171299
2021-02-10,EQ,"3,185.00","3,219.40","3,157.30","3,176.90","3,215.50","3,213.30","3,197.06","3,339.80","1,506.05",2127983,"6,803,289,931.00",115813
2021-02-11,EQ,"3,215.00","3,219.30","3,185.05","3,213.30","3,204.50","3,206.00","3,201.77","3,339.80","1,506.05",1165882,"3,732,884,248.70",53910
2021-02-12,EQ,"3,184.20","3,245.50","3,182.00","3,206.00","3,188.25","3,190.80","3,214.96","3,339.80","1,506.05",2777404,"8,929,253,698.30",113414
2021-02-15,EQ,"3,209.00","3,209.00","3,131.55","3,190.80","3,149.00","3,139.85","3,156.80","3,339.80","1,506.05",2630853,"8,305,069,201.35",143467
2021-02-16,EQ,"3,150.00","3,167.65","3,100.00","3,139.85","3,113.00","3,108.80","3,122.98","3,339.80","1,506.05",3435770,"10,729,849,665.90",171006
2021-02-17,EQ,"3,105.10","3,132.85","3,045.55","3,108.80","3,073.45","3,073.10","3,076.93","3,339.80","1,506.05",3678426,"11,318,262,125.10",204277
2021-02-18,EQ,"3,065.00","3,097.90","3,031.00","3,073.10","3,055.00","3,057.35","3,057.94","3,339.80","1,506.05",4189909,"12,812,510,327.00",176370
2021-02-19,EQ,"3,058.00","3,087.15","3,016.15","3,057.35","3,078.00","3,071.85","3,047.73","3,339.80","1,506.05",3725028,"11,352,887,527.85",130797
2021-02-22,EQ,"3,096.00","3,096.00","2,943.15","3,071.85","2,955.50","2,958.45","2,999.26","3,339.80","1,506.05",5366696,"16,096,121,002.20",266786
2021-02-23,EQ,"2,970.00","3,028.00","2,968.00","2,958.45","2,985.10","2,980.20","2,996.35","3,339.80","1,506.05",3832829,"11,484,513,631.45",192941
2021-02-24,EQ,"2,972.00","3,003.35","2,921.15","2,980.20","2,946.85","2,948.10","2,946.07","3,339.80","1,506.05",3774549,"11,120,081,886.95",132336
2021-02-25,EQ,"2,974.00","3,029.90","2,968.45","2,948.10","2,985.05","2,995.30","3,000.62","3,339.80","1,506.05",4224073,"12,674,849,320.45",223397
2021-02-26,EQ,"2,960.00","2,972.35","2,880.00","2,995.30","2,903.85","2,894.30","2,916.68","3,339.80","1,506.05",5553153,"16,196,777,082.55",348532
2021-03-01,EQ,"2,926.00","2,965.00","2,901.80","2,894.30","2,935.50","2,924.20","2,929.39","3,339.80","1,506.05",3265871,"9,567,012,658.35",170820
2021-03-02,EQ,"2,960.00","3,025.00","2,948.00","2,924.20","3,019.00","3,006.35","2,981.60","3,339.80","1,506.05",3306469,"9,858,560,232.35",186577
2021-03-03,EQ,"3,035.00","3,064.00","2,996.90","3,006.35","3,058.00","3,059.10","3,036.11","3,339.80","1,506.05",3509857,"10,656,315,248.05",183148
2021-03-04,EQ,"3,023.00","3,081.45","3,016.05","3,059.10","3,042.90","3,049.70","3,058.77","3,339.80","1,506.05",3916760,"11,980,483,432.05",174500
2021-03-05,EQ,"3,016.10","3,063.20","2,996.60","3,049.70","3,025.00","3,008.05","3,033.92","3,339.80","1,506.05",3203686,"9,719,719,834.10",127882
2021-03-08,EQ,"3,016.00","3,033.00","2,996.00","3,008.05","3,008.70","3,006.95","3,016.64","3,339.80","1,506.05",2003125,"6,042,702,431.75",113743
2021-03-09,EQ,"3,006.95","3,066.90","2,992.10","3,006.95","3,060.50","3,050.95","3,023.94","3,339.80","1,506.05",1942397,"5,873,698,965.55",133488
2021-03-10,EQ,"3,075.00","3,093.20","3,060.00","3,050.95","3,070.00","3,070.95","3,077.29","3,339.80","1,506.05",3053778,"9,397,359,901.30",164340
2021-03-12,EQ,"3,075.00","3,117.00","3,041.35","3,070.95","3,053.10","3,057.95","3,084.20","3,339.80","1,506.05",2938317,"9,062,343,314.40",128801
2021-03-15,EQ,"3,041.00","3,099.00","3,041.00","3,057.95","3,062.05","3,066.15","3,069.74","3,339.80","1,546.75",3097140,"9,507,410,762.30",138642
2021-03-16,EQ,"3,060.00","3,141.00","3,060.00","3,066.15","3,106.00","3,110.05","3,114.11","3,339.80","1,546.75",4894756,"15,242,817,601.80",190871
2021-03-17,EQ,"3,105.00","3,155.00","3,085.30","3,110.05","3,107.40","3,112.95","3,130.14","3,339.80","1,546.75",3838390,"12,014,711,142.05",183445
2021-03-18,EQ,"3,125.95","3,146.45","2,987.05","3,112.95","3,042.00","3,036.50","3,083.67","3,339.80","1,546.75",3656306,"11,274,828,058.35",164183
2021-03-19,EQ,"3,030.00","3,099.00","3,005.00","3,036.50","3,054.80","3,050.20","3,049.18","3,339.80","1,546.75",5776626,"17,613,985,029.65",153489
